MFR,Model,Reg,Price,TTAF,Paint_Year,Interior_Year
GULFSTREAM Model GIVSP Serial Number 1388 Registration,GIVSP,unregister,,8108,,
GULFSTREAM Model GIVSP Registration,GIVSP,unregister,,1000,,
GULFSTREAM Model GIV Condition Used Description AIRCRAFT IS CURRENTLY AT BANYAN MAINTENANCE,GIV,unregister,,18218,,
GULFSTREAM Model GIVSP Serial Number 1314 Registration,GIVSP,unregister,,11619,,
GULFSTREAM Model GIVSP Serial Number 1228 Registration,GIVSP,unregister,,13098,,
GULFSTREAM Model GIV Serial Number 1093 Registration,GIV,unregister,,11894,,
GULFSTREAM Model GIV Serial Number 1178 Registration,GIV,unregister,,10340,,
GULFSTREAM Model GIVSP Serial Number 1195 Condition Used Description Avance L5 WiFi TCAS 7,GIVSP,unregister,,9570,,
GULFSTREAM Model GIVSP Serial Number 1406 Registration,GIVSP,unregister,,9259,,
GULFSTREAM Model G450 Serial Number 4202 Registration,G450,unregister,,3156,,
GULFSTREAM Model GIVSP Serial Number 1435 Registration,GIVSP,unregister,,8833,,
GULFSTREAM Model GIVSP Serial Number IV,GIVSP,unregister,,10038,,
GULFSTREAM Model G450 Serial Number 4316 Registration,G450,unregister,,2210,,
GULFSTREAM Model GIVSP Serial Number 1324 Registration,GIVSP,unregister,,15138,,
GULFSTREAM Model GIVSP Serial Number 1374 Condition Used Description DU,GIVSP,unregister,,10714,,
GULFSTREAM Model GIVSP Condition Used Based at MMTO Description NEXT GEN AVIONICS FANS 1A,GIVSP,unregister,,11532,,
GULFSTREAM Model GIVSP Serial Number 1208 Condition Used Description,GIVSP,unregister,,12062,,
GULFSTREAM Model G200 Condition Used Description AVAILABLE FOR SALE,G200,unregister,,2184,,
GULFSTREAM Model GIVSP Serial Number 1221 Registration,GIVSP,unregister,,11315,,
GULFSTREAM Model GIVSP Serial Number 1495 Registration,GIVSP,unregister,,8200,,
GULFSTREAM Model GIV Condition Used Based at SAT Description Reasons to buy this extremely well,GIV,unregister,,10073,,
GULFSTREAM Model GIVSP Serial Number 1376 Registration,GIVSP,unregister,,8483,,
GULFSTREAM Model GIV Serial Number IV1129 Registration,GIV,unregister,,9996,,
GULFSTREAM Model GIVSP Serial Number 1261 Registration,GIVSP,unregister,,6877,,
GULFSTREAM Model G450 Serial Number 4051 Registration,G450,unregister,,6626,,
GULFSTREAM Model GIVSP Serial Number 1402 Registration,GIVSP,unregister,,8042,,
ASTRA,1125,unregister,,10531,,
GULFSTREAM Model GIVSP Serial Number 1356 Registration,GIVSP,unregister,,7662,,
GULFSTREAM Model GIVSP Serial Number 1430 Registration,GIVSP,unregister,,8957,,
GULFSTREAM Model GIV Serial Number 1164 Registration,GIV,unregister,,11778,,
GULFSTREAM Model GIV Serial Number 1145 Registration,GIV,unregister,,9588,,
GULFSTREAM Model GIV Serial Number 1130 Condition Used Airframe Total Time 18,GIV,unregister,,18976,,
GULFSTREAM Model GIVSP Serial Number 1263 Registration,GIVSP,unregister,,7895,,
GULFSTREAM Model GIVSP Serial Number 1434 Registration,GIVSP,unregister,,7942,,
GULFSTREAM Model G450 Serial Number 4127 Registration,G450,unregister,,2972,,
GULFSTREAM Model GIVSP Serial Number 1383 Registration,GIVSP,unregister,,10700,,
GULFSTREAM Model GIV Serial Number 1160 Registration,GIV,unregister,,19929,,
GULFSTREAM Model GIVSP Serial Number 1492 Registration,GIVSP,unregister,,8999,,
GULFSTREAM Model GIV Serial Number 1197 Registration,GIV,unregister,,10789,,
GULFSTREAM Model GIVSP Serial Number 1401 Registration,GIVSP,unregister,,10091,,
GULFSTREAM Model GIVSP Serial Number 1436 Condition Used Description Engines Enrolled on RRCC Enhanced FANS 1,GIVSP,unregister,,17975,,
GULFSTREAM Model GIV Serial Number IV1157 Registration,GIV,unregister,,11534,,
GULFSTREAM Model GIVSP Serial Number 1306 Condition Used Description Beautiful Interior,GIVSP,unregister,,9502,,
GULFSTREAM Model G450 Serial Number 4315 Registration,G450,unregister,,1120,,
GULFSTREAM Model GIVSP Serial Number 1493 Registration,GIVSP,unregister,,8958,,
GULFSTREAM Model GIVSP Serial Number 1406 Condition Used Description Engines Enrolled on Rolls Royce Corporate Care Enhanced Du,GIVSP,unregister,,9339,,
GULFSTREAM Model GIVSP Serial Number 1499 Registration,GIVSP,unregister,,6362,,
GULFSTREAM Model GIV Serial Number 1142 Condition Used Description USA Based,GIV,unregister,,6706,,
GULFSTREAM Model G450 Serial Number 4281 Registration,G450,unregister,,3067,,
GULFSTREAM Model GIVSP Serial Number 1307 Registration,GIVSP,unregister,,11431,,
GULFSTREAM Model GIVSP Serial Number 1264 Registration,GIVSP,unregister,,13910,,
GULFSTREAM Model GIVSP Condition Used Description Cabin configured for 13 passengers with Aft galley ADS,GIVSP,unregister,,8426,,
GULFSTREAM Model GIV Serial Number 1027 Registration,GIV,unregister,,8247,,
GULFSTREAM Model GIVSP Serial Number 1234 Registration,GIVSP,unregister,,7177,,
GULFSTREAM Model GIV Serial Number 1110 Registration,GIV,unregister,,13622,,
GULFSTREAM Model GIVSP Serial Number 1351 Registration,GIVSP,unregister,,13910,,
GULFSTREAM Model GIV Serial Number 1050 Registration,GIV,unregister,,12321,,
GULFSTREAM Model GIVSP Serial Number 1295 Condition Used Description CPDLC,GIVSP,unregister,,16687,,
GULFSTREAM Model GIVSP Serial Number 1293 Registration,GIVSP,unregister,,13,,
GULFSTREAM Model GIVSP Serial Number IV,GIVSP,unregister,,14733,,
GULFSTREAM Model GIVSP Serial Number 1245 Registration,GIVSP,unregister,,10179,,
GULFSTREAM Model GIV Serial Number 1077 Registration,GIV,unregister,,7920,,
GULFSTREAM Model GIVSP Serial Number 1467 Registration,GIVSP,unregister,,7079,,
GULFSTREAM Model G450 Serial Number 4257 Registration,G450,unregister,,3212,,
GULFSTREAM Model GIV Serial Number 1093 Registration,GIV,unregister,,11894,,
GULFSTREAM Model GIVSP Serial Number 1392 Registration,GIVSP,unregister,,15939,,
GULFSTREAM Model GIVSP Serial Number 1466 Registration,GIVSP,unregister,,8426,,
GULFSTREAM Model GIVSP Serial Number 1406 Registration,GIVSP,unregister,,9260,,
GULFSTREAM Model GIVSP Serial Number 1450 Condition Used Description Engines Enrolled on RRCC APU Enrolled on MSP FANS 1,GIVSP,unregister,,6132,,
GULFSTREAM Model GIVSP Serial Number 1165 Registration,GIVSP,unregister,,12426,,
